year,location,event,athlete,country,medal,timeFormat,altitude
1988,"Calgary, Canada",3000m Women,Gabi Zange-Schönbrunn,GDR,BRONZE,04:16.92,1105
1988,"Calgary, Canada",5000m Women,Yvonne van Gennip,NED,GOLD,07:14.13,1105
1988,"Calgary, Canada",5000m Women,Andrea Schöne,GDR,SILVER,07:17.12,1105
1988,"Calgary, Canada",5000m Women,Gabi Zange-Schönbrunn,GDR,BRONZE,07:21.61,1105
1992,"Albertville, France",500m Men,Uwe-Jens Mey,GER,GOLD,00:37.14,352
1992,"Albertville, France",500m Men,Toshiyuki Kuroiwa,JPN,SILVER,00:37.18,352
1992,"Albertville, France",500m Men,Junichi Inoue,JPN,BRONZE,00:37.26,352
1992,"Albertville, France",1000m Men,Olaf Zinke,GER,GOLD,01:14.85,352
1992,"Albertville, France",1000m Men,Yoon-Man Kim,KOR,SILVER,01:14.86,352
1992,"Albertville, France",1000m Men,Yukinori Miyabe,JPN,BRONZE,01:14.92,352
1992,"Albertville, France",1500m Men,Johann Koss,NOR,GOLD,01:54.81,352
1992,"Albertville, France",1500m Men,Ådne Søndrål,NOR,SILVER,01:54.85,352
1992,"Albertville, France",1500m Men,Leo Visser,NED,BRONZE,01:54.90,352
1992,"Albertville, France",5000m Men,Geir Karlstad,NOR,GOLD,06:59.97,352
1992,"Albertville, France",5000m Men,Falko Zandstra,NED,SILVER,07:02.28,352
1992,"Albertville, France",5000m Men,Leo Visser,NED,BRONZE,07:04.96,352
1992,"Albertville, France",10000m Men,Bart Veldkamp,NED,GOLD,14:12.12,352
1992,"Albertville, France",10000m Men,Johann Koss,NOR,SILVER,14:14.58,352
1992,"Albertville, France",10000m Men,Geir Karlstad,NOR,BRONZE,14:18.13,352
1992,"Albertville, France",500m Women,Bonnie Blair,USA,GOLD,00:40.33,352
1992,"Albertville, France",500m Women,Qiaobo Ye,CHN,SILVER,00:40.51,352
1992,"Albertville, France",500m Women,Christa Rothenburger,GER,BRONZE,00:40.57,352
1992,"Albertville, France",1000m Women,Bonnie Blair,USA,GOLD,01:21.90,352
1992,"Albertville, France",1000m Women,Qiaobo Ye,CHN,SILVER,01:21.92,352
1992,"Albertville, France",1000m Women,Monique Garbrecht,GER,BRONZE,01:22.10,352
1992,"Albertville, France",1500m Women,Jacqueline Börner,GER,GOLD,02:05.87,352
1992,"Albertville, France",1500m Women,Gunda Niemann,GER,SILVER,02:05.92,352
1992,"Albertville, France",1500m Women,Seiko Hashimoto,JPN,BRONZE,02:06.88,352
1992,"Albertville, France",3000m Women,Gunda Niemann,GER,GOLD,04:19.90,352
1992,"Albertville, France",3000m Women,Heike Warnicke,GER,SILVER,04:22.88,352
1992,"Albertville, France",3000m Women,Emese Hunyady,AUT,BRONZE,04:24.64,352
1992,"Albertville, France",5000m Women,Gunda Niemann,GER,GOLD,07:31.57,352
1992,"Albertville, France",5000m Women,Heike Warnicke,GER,SILVER,07:37.59,352
1992,"Albertville, France",5000m Women,Claudia Pechstein,GER,BRONZE,07:39.80,352
1992,"Albertville, France",1000m Short Track Men,Ki-Hoon Kim,KOR,GOLD,01:30.76,352
1992,"Albertville, France",1000m Short Track Men,Frédéric Blackburn,CAN,SILVER,01:31.11,352
1992,"Albertville, France",1000m Short Track Men,Joon-Ho Lee,KOR,BRONZE,01:31.16,352
1992,"Albertville, France",5000m Short Track Relay Men,Joon-Ho Lee,KOR,GOLD,07:14.02,352
1992,"Albertville, France",5000m Short Track Relay Men,Ji-Su Mo,KOR,GOLD,07:14.02,352
1992,"Albertville, France",5000m Short Track Relay Men,Ki-Hoon Kim,KOR,GOLD,07:14.02,352
1992,"Albertville, France",5000m Short Track Relay Men,Jae-Kun Song,KOR,GOLD,07:14.02,352
1992,"Albertville, France",5000m Short Track Relay Men,Sylvain Gagnon,CAN,SILVER,07:14.06,352
1992,"Albertville, France",5000m Short Track Relay Men,Marck Lackie,CAN,SILVER,07:14.06,352
1992,"Albertville, France",5000m Short Track Relay Men,Frédéric Blackburn,CAN,SILVER,07:14.06,352
1992,"Albertville, France",5000m Short Track Relay Men,Michel Daignault,CAN,SILVER,07:14.06,352
1992,"Albertville, France",5000m Short Track Relay Men,Yuichi Akasaka,JPN,BRONZE,07:18.18,352
1992,"Albertville, France",5000m Short Track Relay Men,Tatsuyoshi Ishihara,JPN,BRONZE,07:18.18,352
1992,"Albertville, France",5000m Short Track Relay Men,Toshinobu Kawai,JPN,BRONZE,07:18.18,352
1992,"Albertville, France",5000m Short Track Relay Men,Tsutomu Kawasaki,JPN,BRONZE,07:18.18,352
1992,"Albertville, France",500m Short Track Women,Cathy Turner,USA,GOLD,00:47.04,352
1992,"Albertville, France",500m Short Track Women,Yan Li,CHN,SILVER,00:47.08,352
1992,"Albertville, France",500m Short Track Women,Ok-Sil Hwang,PRK,BRONZE,00:47.23,352
1992,"Albertville, France",3000m Short Track Relay Women,Angela Cutrone,CAN,GOLD,04:36.62,352
1992,"Albertville, France",3000m Short Track Relay Women,Sylvie Daigle,CAN,GOLD,04:36.62,352
1992,"Albertville, France",3000m Short Track Relay Women,Nathalie Lambert,CAN,GOLD,04:36.62,352
1992,"Albertville, France",3000m Short Track Relay Women,Annie Perreault,CAN,GOLD,04:36.62,352
1992,"Albertville, France",3000m Short Track Relay Women,Amy Peterson,USA,SILVER,04:37.85,352
1992,"Albertville, France",3000m Short Track Relay Women,Cathy Turner,USA,SILVER,04:37.85,352
1992,"Albertville, France",3000m Short Track Relay Women,Nikki Ziegelmeyer,USA,SILVER,04:37.85,352
1992,"Albertville, France",3000m Short Track Relay Women,Darcie Dohnal,USA,SILVER,04:37.85,352
1992,"Albertville, France",3000m Short Track Relay Women,Natalya Isakova,URS,BRONZE,04:42.69,352
1992,"Albertville, France",3000m Short Track Relay Women,Yuliya Allagulova,URS,BRONZE,04:42.69,352
1992,"Albertville, France",3000m Short Track Relay Women,Viktoriya Taranina,URS,BRONZE,04:42.69,352
1992,"Albertville, France",3000m Short Track Relay Women,Yuliya Vlasova,URS,BRONZE,04:42.69,352
1994,"Lillehammer, Norway",500m Men,Aleksandr Golubev,RUS,GOLD,00:36.33,125
1994,"Lillehammer, Norway",500m Men,Sergey Klevchenya,RUS,SILVER,00:36.39,125
1994,"Lillehammer, Norway",500m Men,Manabu Horii,JPN,BRONZE,00:36.53,125
1994,"Lillehammer, Norway",1000m Men,Dan Jansen,USA,GOLD,01:12.43,125
1994,"Lillehammer, Norway",1000m Men,Igor Zhelezovsky,BLR,SILVER,01:12.72,125
1994,"Lillehammer, Norway",1000m Men,Sergey Klevchenya,RUS,BRONZE,01:12.85,125
1994,"Lillehammer, Norway",1500m Men,Johann Koss,NOR,GOLD,01:51.29,125
1994,"Lillehammer, Norway",1500m Men,Rintje Ritsma,NED,SILVER,01:51.99,125
1994,"Lillehammer, Norway",1500m Men,Falko Zandstra,NED,BRONZE,01:52.38,125
1994,"Lillehammer, Norway",5000m Men,Johann Koss,NOR,GOLD,06:34.96,125
1994,"Lillehammer, Norway",5000m Men,Kjell Storelid,NOR,SILVER,06:42.68,125
1994,"Lillehammer, Norway",5000m Men,Rintje Ritsma,NED,BRONZE,06:43.94,125
1994,"Lillehammer, Norway",10000m Men,Johann Koss,NOR,GOLD,13:30.55,125
1994,"Lillehammer, Norway",10000m Men,Kjell Storelid,NOR,SILVER,13:49.25,125
1994,"Lillehammer, Norway",10000m Men,Bart Veldkamp,NED,BRONZE,13:56.73,125
1994,"Lillehammer, Norway",500m Women,Bonnie Blair,USA,GOLD,00:39.25,125
1994,"Lillehammer, Norway",500m Women,Susan Auch,CAN,SILVER,00:39.61,125
1994,"Lillehammer, Norway",500m Women,Franziska Schenk,GER,BRONZE,00:39.70,125
1994,"Lillehammer, Norway",1000m Women,Bonnie Blair,USA,GOLD,01:18.74,125
1994,"Lillehammer, Norway",1000m Women,Anke Baier-Loef,GER,SILVER,01:20.12,125
1994,"Lillehammer, Norway",1000m Women,Qiaobo Ye,CHN,BRONZE,01:20.22,125
1994,"Lillehammer, Norway",1500m Women,Emese Hunyady,AUT,GOLD,02:02.19,125
1994,"Lillehammer, Norway",1500m Women,Svetlana Fedotkina,RUS,SILVER,02:02.69,125
1994,"Lillehammer, Norway",1500m Women,Gunda Niemann,GER,BRONZE,02:03.41,125
1994,"Lillehammer, Norway",3000m Women,Svetlana Bashanova,RUS,GOLD,04:17.43,125
1994,"Lillehammer, Norway",3000m Women,Emese Hunyady,AUT,SILVER,04:18.14,125
1994,"Lillehammer, Norway",3000m Women,Claudia Pechstein,GER,BRONZE,04:18.34,125
1994,"Lillehammer, Norway",5000m Women,Claudia Pechstein,GER,GOLD,07:14.37,125
1994,"Lillehammer, Norway",5000m Women,Gunda Niemann,GER,SILVER,07:14.88,125
1994,"Lillehammer, Norway",5000m Women,Hiromi Yamamoto,JPN,BRONZE,07:19.68,125
1994,"Lillehammer, Norway",500m Short Track Men,Ji-Hoon Chae,KOR,GOLD,00:43.45,125
1994,"Lillehammer, Norway",500m Short Track Men,Mirko Vuillermin,ITA,SILVER,00:43.47,125
1994,"Lillehammer, Norway",500m Short Track Men,Nicholas Gooch,GBR,BRONZE,00:43.68,125
1994,"Lillehammer, Norway",1000m Short Track Men,Ki-Hoon Kim,KOR,GOLD,01:34.57,125
1994,"Lillehammer, Norway",1000m Short Track Men,Ji-Hoon Chae,KOR,SILVER,01:34.92,125
1994,"Lillehammer, Norway",1000m Short Track Men,Marc Gagnon,CAN,BRONZE,01:33.03,125
1994,"Lillehammer, Norway",5000m Short Track Relay Men,Orazio Fagone,ITA,GOLD,07:11.74,125
1994,"Lillehammer, Norway",5000m Short Track Relay Men,Hugo Herrnhof,ITA,GOLD,07:11.74,125
1994,"Lillehammer, Norway",5000m Short Track Relay Men,Maurizio Carnino,ITA,GOLD,07:11.74,125
1994,"Lillehammer, Norway",5000m Short Track Relay Men,Mirko Vuillermin,ITA,GOLD,07:11.74,125
1994,"Lillehammer, Norway",5000m Short Track Relay Men,Randall Bartz,USA,SILVER,07:13.68,125
1994,"Lillehammer, Norway",5000m Short Track Relay Men,Eric Flaim,USA,SILVER,07:13.68,125
1994,"Lillehammer, Norway",5000m Short Track Relay Men,Andrew Gabel,USA,SILVER,07:13.68,125
1994,"Lillehammer, Norway",5000m Short Track Relay Men,John Coyle,USA,SILVER,07:13.68,125
1994,"Lillehammer, Norway",5000m Short Track Relay Men,Steven Bradbury,AUS,BRONZE,07:13.68,125
1994,"Lillehammer, Norway",5000m Short Track Relay Men,Andrew Murtha,AUS,BRONZE,07:13.68,125
1994,"Lillehammer, Norway",5000m Short Track Relay Men,Kieran Hansen,AUS,BRONZE,07:13.68,125
1994,"Lillehammer, Norway",5000m Short Track Relay Men,Richard Nizielski,AUS,BRONZE,07:13.68,125
1994,"Lillehammer, Norway",500m Short Track Women,Cathy Turner,USA,GOLD,00:45.98,125
1994,"Lillehammer, Norway",500m Short Track Women,Yanmei Zhang,CHN,SILVER,00:46.44,125
1994,"Lillehammer, Norway",500m Short Track Women,Amy Peterson,USA,BRONZE,00:46.76,125
1994,"Lillehammer, Norway",1000m Short Track Women,Lee-Kyung Chun,KOR,GOLD,01:36.87,125
1994,"Lillehammer, Norway",1000m Short Track Women,Nathalie Lambert,CAN,SILVER,01:36.97,125
1994,"Lillehammer, Norway",1000m Short Track Women,So-Hee Kim,KOR,BRONZE,01:37.09,125
1994,"Lillehammer, Norway",3000m Short Track Relay Women,So-Hee Kim,KOR,GOLD,04:26.64,125
1994,"Lillehammer, Norway",3000m Short Track Relay Women,Yoon-Mi Kim,KOR,GOLD,04:26.64,125
1994,"Lillehammer, Norway",3000m Short Track Relay Women,Lee-Kyung Chun,KOR,GOLD,04:26.64,125
1994,"Lillehammer, Norway",3000m Short Track Relay Women,Hye-Kyung Won,KOR,GOLD,04:26.64,125
1994,"Lillehammer, Norway",3000m Short Track Relay Women,Isabelle Charest,CAN,SILVER,04:32.04,125
1994,"Lillehammer, Norway",3000m Short Track Relay Women,Sylvie Daigle,CAN,SILVER,04:32.04,125
1994,"Lillehammer, Norway",3000m Short Track Relay Women,Christine Boudrias,CAN,SILVER,04:32.04,125
1994,"Lillehammer, Norway",3000m Short Track Relay Women,Nathalie Lambert,CAN,SILVER,04:32.04,125
1994,"Lillehammer, Norway",3000m Short Track Relay Women,Karen Cashman,USA,BRONZE,04:39.34,125
1994,"Lillehammer, Norway",3000m Short Track Relay Women,Cathy Turner,USA,BRONZE,04:39.34,125
1994,"Lillehammer, Norway",3000m Short Track Relay Women,Amy Peterson,USA,BRONZE,04:39.34,125
1994,"Lillehammer, Norway",3000m Short Track Relay Women,Nikki Ziegelmeyer,USA,BRONZE,04:39.34,125
1998,"Nagano, Japan",500m Men,Hiroyasu Shimizu,JPN,GOLD,01:11.35,346
1998,"Nagano, Japan",500m Men,Jeremy Wotherspoon,CAN,SILVER,01:11.84,346
1998,"Nagano, Japan",500m Men,Kevin Overland,CAN,BRONZE,01:11.86,346
1998,"Nagano, Japan",1000m Men,Ids Postma,NED,GOLD,01:10.64,346
1998,"Nagano, Japan",1000m Men,Jan Bos,NED,SILVER,01:10.71,346
1998,"Nagano, Japan",1000m Men,Hiroyasu Shimizu,JPN,BRONZE,01:11.00,346
1998,"Nagano, Japan",1500m Men,Ådne Søndrål,NOR,GOLD,01:47.87,346
1998,"Nagano, Japan",1500m Men,Ids Postma,NED,SILVER,01:48.13,346
1998,"Nagano, Japan",1500m Men,Rintje Ritsma,NED,BRONZE,01:48.52,346
1998,"Nagano, Japan",5000m Men,Gianni Romme,NED,GOLD,06:22.20,346
1998,"Nagano, Japan",5000m Men,Rintje Ritsma,NED,SILVER,06:28.24,346
1998,"Nagano, Japan",5000m Men,Bart Veldkamp,BEL,BRONZE,06:28.31,346
1998,"Nagano, Japan",10000m Men,Gianni Romme,NED,GOLD,13:15.33,346
1998,"Nagano, Japan",10000m Men,Bob de Jong,NED,SILVER,13:25.76,346
